1	bowern_bardi2012v2.pdf.txt	28250	781	splash=TEMP 1-PST-1AUG-do/say-CONT-REM.PST salt.water-LOC
1	bowern_bardi2012v2.pdf.txt	28261	782	1-PST-1AUG-do/say-CONT-REM.PST ﬁsh=TEMP one.place
1	bowern_bardi2012v2.pdf.txt	28275	782	1-PST-1AUG-wait.for-CONT-REM.PST tide
1	bowern_bardi2012v2.pdf.txt	28297	782	1-PST-1AUG-kill-CONT-REM.PST=3A.DO
1	bowern_bardi2012v2.pdf.txt	28303	782	Barda=gid a-ng-arr-a-na-n=irr away=TEMP 1-PST-1AUG-take-CONT-REM.PST=3A.DO niiman=angarr aarli baali-ngan. plenty=absolutely ﬁsh camp-ALL
1	bowern_bardi2012v2.pdf.txt	28366	783	1-FUT-1AUG-take-FUT=2M.DO off
1	bowern_bardi2012v2.pdf.txt	28383	784	2M 1-FUT-1AUG-take-FUT=2M.DO off go=REL away off
3	bowern_bardi2012v2.pdf.txt	4053	164	"pur "i-n-­cal=­cir look 3-TR-see-3A.IO
3	bowern_bardi2012v2.pdf.txt	6311	240	clean’im 3-PST-put-REM.PST-3A.DO this
3	bowern_bardi2012v2.pdf.txt	6467	245	3-PST-AUG-put-REM.PST-REL-INDF-3A.DO
3	bowern_bardi2012v2.pdf.txt	11965	377	spear.tip 3-M.POSS-3AUG
3	bowern_bardi2012v2.pdf.txt	12642	394	clean’im 3-PST-put-REM.PST-3A.DO this
3	bowern_bardi2012v2.pdf.txt	13571	417	3-AUG-fear-CONT-3M.IO-1M.POSS woman’s.child
3	bowern_bardi2012v2.pdf.txt	15617	462	wife 3-[PST]-TR-[give]-3M.IO=3M.POSS ﬁsh.
3	bowern_bardi2012v2.pdf.txt	17084	502	very 3-AUG-stomach-3A.IO child-ERG good food
ALL	bowern_bardi2012v2.pdf.txt	12563	391	3-TR-send-REDUP-CONT=3A.DO place-ALL-place-ALL
